edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,5e-05,0.00014000000000000001,0.00014000000000000001,0.0,0.00019,5e-05,0.00019,0.0001,0.00023999999999999998,5e-05,0.0,0.00029,0.0,0.0001,5e-05,0.00011,5.9999999999999995e-05,0.00011999999999999999,5.9999999999999995e-05,0.0,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,8e-05,0.00023999999999999998,0.0,0.00016,0.00031,7.000000000000001e-05,0.00020999999999999998,7.000000000000001e-05,0.0002,0.00013000000000000002,0.00013000000000000002,0.00026000000000000003,0.0,5.9999999999999995e-05,5.9999999999999995e-05,0.00017999999999999998,5.9999999999999995e-05,0.0,0.00011,0.0,0.0,5e-05
11,0.001954,0.0028020000000000002,0.0027040000000000002,0.002708,0.0031219999999999998,0.0026239999999999996,0.002384,0.00197,0.001968,0.0018379999999999998,0.001814,0.0019660000000000003,0.00152,0.001476,0.001342,0.001302,0.001082,0.0012399999999999998,0.0012720000000000003,0.000592,0.0006599999999999999,0.0006860000000000001,0.00075,0.0006919999999999999,0.0008460000000000001,0.001086,0.001074,0.0015580000000000001,0.0021559999999999995,0.0017579999999999998,0.0015599999999999998,0.002336,0.002224,0.002832,0.0021379999999999997,0.0019720000000000002,0.001472,0.0014759999999999999,0.001276,0.001282,0.0012560000000000002,0.001374,0.00138,0.0014160000000000002,0.000976,0.0011059999999999998,0.0006900000000000001,0.0006360000000000001,0.0009120000000000002
12,0.0038579999999999995,0.005463999999999999,0.005268,0.005416,0.006054,0.0051979999999999995,0.0045780000000000005,0.0038399999999999997,0.0036960000000000005,0.0036259999999999994,0.003628,0.0036420000000000003,0.00304,0.0028520000000000004,0.002634,0.0024939999999999997,0.002104,0.0023599999999999997,0.0024840000000000005,0.001184,0.0013199999999999998,0.0013720000000000002,0.0015,0.001304,0.0016920000000000001,0.002172,0.002148,0.003036,0.004072,0.0035159999999999996,0.00296,0.0043619999999999996,0.004378,0.005454,0.0042060000000000005,0.003744000000000001,0.002814,0.002822,0.0022919999999999998,0.002564,0.002452,0.0026880000000000003,0.0025800000000000003,0.002772,0.001952,0.0021019999999999997,0.0013800000000000002,0.0012720000000000001,0.0017740000000000002
13,0.005762,0.008126,0.007832,0.008124,0.008986,0.007771999999999999,0.006772,0.005709999999999999,0.005424000000000001,0.005413999999999999,0.005442,0.005318000000000001,0.004560000000000001,0.004228,0.003926,0.0036859999999999996,0.003126,0.0034799999999999996,0.0036960000000000005,0.0017759999999999998,0.0019799999999999996,0.0020580000000000004,0.00225,0.001916,0.0025380000000000003,0.0032579999999999996,0.0032220000000000005,0.004514000000000001,0.005987999999999999,0.005273999999999999,0.004359999999999999,0.006387999999999999,0.006532,0.008076,0.006274000000000001,0.005516000000000001,0.004156,0.004168,0.0033079999999999997,0.003846,0.0036480000000000006,0.0040019999999999995,0.00378,0.004128,0.002928,0.0030979999999999996,0.0020700000000000002,0.001908,0.0026360000000000003
14,0.007665999999999999,0.010788,0.010396,0.010832,0.011918,0.010346,0.008966,0.007579999999999999,0.007152000000000001,0.007201999999999999,0.007256,0.006994000000000001,0.00608,0.0056040000000000005,0.0052179999999999995,0.004878,0.004148,0.0046,0.004908,0.002368,0.0026399999999999996,0.0027440000000000003,0.003,0.002528,0.0033840000000000003,0.004344,0.004296,0.005992,0.007904,0.007031999999999999,0.0057599999999999995,0.008414,0.008686,0.010698000000000001,0.008342,0.007288000000000001,0.005498,0.005514,0.004324,0.005128,0.004844,0.0053159999999999995,0.004979999999999999,0.005484,0.003904,0.0040939999999999995,0.0027600000000000003,0.0025440000000000003,0.0034980000000000002
15,0.00957,0.01345,0.012960000000000001,0.01354,0.01485,0.01292,0.01116,0.00945,0.00888,0.00899,0.00907,0.00867,0.0076,0.00698,0.00651,0.00607,0.00517,0.005719999999999999,0.0061200000000000004,0.00296,0.0033,0.0034300000000000003,0.00375,0.00314,0.00423,0.00543,0.00537,0.00747,0.00982,0.00879,0.0071600000000000006,0.01044,0.01084,0.01332,0.01041,0.00906,0.00684,0.006860000000000001,0.00534,0.00641,0.00604,0.00663,0.00618,0.00684,0.00488,0.00509,0.0034500000000000004,0.00318,0.00436
16,0.027106,0.031838,0.030774,0.029727999999999997,0.028182000000000002,0.026265999999999998,0.023324,0.020396,0.018514,0.016887999999999997,0.015754,0.015058,0.012803999999999998,0.01204,0.011022,0.010672000000000001,0.009282,0.009058,0.008842000000000001,0.005658,0.005477999999999999,0.005376000000000001,0.005632,0.004986,0.00589,0.007214,0.007494,0.009768,0.012446,0.011985999999999998,0.01,0.013812,0.014612,0.016774,0.014070000000000001,0.01374,0.010496,0.010222000000000002,0.009014,0.00977,0.009609999999999999,0.009668,0.00976,0.010013999999999999,0.008994,0.008348,0.006788000000000001,0.0061059999999999994,0.0070739999999999996
17,0.044642,0.050226,0.048588,0.045916,0.041514,0.039612,0.035488,0.031342,0.028147999999999996,0.024786,0.022438000000000003,0.021445999999999996,0.018007999999999996,0.0171,0.015534000000000001,0.015274,0.013394,0.012396,0.011564,0.008355999999999999,0.007656,0.007322000000000001,0.007514,0.006831999999999999,0.007549999999999999,0.008997999999999999,0.009618,0.012066,0.015071999999999999,0.015182,0.01284,0.017183999999999998,0.018384,0.020228000000000003,0.01773,0.018420000000000002,0.014152000000000001,0.013584,0.012688000000000001,0.013130000000000001,0.013179999999999999,0.012706,0.01334,0.013188,0.013108,0.011606,0.010126000000000001,0.009032,0.009788
18,0.062178000000000004,0.068614,0.066402,0.06210399999999999,0.05484600000000001,0.052958,0.047652,0.04228800000000001,0.037781999999999996,0.032684,0.029122,0.027834000000000005,0.023211999999999997,0.022160000000000003,0.020045999999999998,0.019875999999999998,0.017506,0.015733999999999998,0.014286000000000002,0.011053999999999998,0.009833999999999999,0.009268,0.009396000000000002,0.008677999999999998,0.00921,0.010782,0.011742,0.014364,0.017698000000000002,0.018378,0.01568,0.020555999999999998,0.022156,0.023681999999999998,0.02139,0.023100000000000002,0.017808,0.016946000000000003,0.016362,0.01649,0.01675,0.015744,0.016919999999999998,0.016362,0.017221999999999998,0.014864,0.013463999999999999,0.011957999999999998,0.012502
19,0.079714,0.087002,0.08421600000000001,0.078292,0.06817800000000002,0.066304,0.059816,0.05323400000000001,0.047416,0.04058199999999999,0.035806,0.034222,0.028415999999999997,0.02722,0.024558,0.024477999999999996,0.021618000000000002,0.019072,0.017008,0.013751999999999999,0.012012,0.011214,0.011278,0.010523999999999999,0.01087,0.012565999999999999,0.013866,0.016662000000000003,0.020324,0.021574,0.01852,0.023927999999999998,0.025927999999999996,0.027136,0.02505,0.027780000000000003,0.021463999999999997,0.020308000000000003,0.020036,0.019850000000000003,0.02032,0.018782,0.0205,0.019536,0.021335999999999997,0.018122,0.016802,0.014883999999999998,0.015216
20,0.09725,0.10539,0.10203,0.09448000000000001,0.08151,0.07965000000000001,0.07198,0.06418,0.05705,0.048479999999999995,0.04249,0.04061,0.03362,0.03228,0.02907,0.029079999999999998,0.02573,0.02241,0.01973,0.01645,0.01419,0.01316,0.01316,0.012369999999999999,0.01253,0.01435,0.01599,0.01896,0.022949999999999998,0.02477,0.02136,0.0273,0.0297,0.03059,0.02871,0.03246,0.02512,0.02367,0.023710000000000002,0.02321,0.02389,0.02182,0.024079999999999997,0.02271,0.02545,0.02138,0.02014,0.01781,0.017929999999999998
21,0.11547400000000001,0.12035599999999999,0.116388,0.10803,0.09634000000000001,0.09253800000000001,0.085492,0.077024,0.069926,0.062328,0.055886,0.053936,0.046450000000000005,0.046054000000000005,0.042598,0.041318,0.037946,0.033928,0.03109,0.028123999999999996,0.02537,0.024356000000000003,0.023478000000000002,0.021996,0.021619999999999997,0.022924,0.02434,0.026142,0.029402,0.030664,0.028140000000000002,0.032792,0.034582,0.035878,0.034594,0.037174,0.031652,0.03041,0.02912,0.029416,0.029702000000000003,0.028399999999999998,0.029661999999999997,0.028475999999999998,0.02997,0.026402000000000002,0.024992,0.022921999999999998,0.02283
22,0.133698,0.135322,0.130746,0.12158,0.11117,0.105426,0.099004,0.089868,0.08280199999999999,0.07617600000000001,0.069282,0.067262,0.05928,0.059828000000000006,0.05612599999999999,0.053556,0.050162,0.045446,0.04245,0.03979799999999999,0.036550000000000006,0.03555200000000001,0.03379600000000001,0.031622,0.03071,0.031498,0.03269,0.033324,0.035854,0.036558,0.03492,0.038284,0.039464,0.041165999999999994,0.040478,0.04188800000000001,0.038183999999999996,0.037149999999999996,0.03453,0.035622,0.035514000000000004,0.034980000000000004,0.035244,0.034242,0.03448999999999999,0.031424,0.029844000000000002,0.028034,0.02773
23,0.151922,0.150288,0.14510399999999998,0.13513,0.126,0.118314,0.11251599999999999,0.102712,0.095678,0.090024,0.082678,0.08058799999999999,0.07211000000000001,0.073602,0.069654,0.06579399999999999,0.062378,0.056964,0.053810000000000004,0.051472,0.04773,0.046748000000000005,0.04411400000000001,0.04124800000000001,0.039799999999999995,0.040072,0.04104,0.040506,0.042305999999999996,0.042452,0.041699999999999994,0.043775999999999995,0.044346,0.046454,0.046362,0.046602000000000005,0.04471599999999999,0.04389,0.039939999999999996,0.041828000000000004,0.041326,0.04156,0.040826,0.040008,0.039009999999999996,0.036446,0.034696,0.033146,0.03263
24,0.17014600000000002,0.16525399999999998,0.159462,0.14868,0.14082999999999998,0.13120199999999999,0.126028,0.115556,0.108554,0.10387200000000002,0.09607399999999998,0.09391399999999998,0.08494,0.08737600000000001,0.08318199999999999,0.07803199999999999,0.074594,0.068482,0.06517,0.06314599999999998,0.058910000000000004,0.057944,0.054432,0.050874,0.04889,0.048646,0.04939,0.047688,0.048758,0.04834600000000001,0.048479999999999995,0.049268,0.049227999999999994,0.051742,0.052246,0.051316,0.051247999999999995,0.050629999999999994,0.045349999999999994,0.04803400000000001,0.047138000000000006,0.04814,0.046408,0.045774,0.04353,0.041468000000000005,0.039548,0.03825799999999999,0.03753
25,0.18837,0.18022,0.17382,0.16222999999999999,0.15566,0.14409,0.13954,0.12840000000000001,0.12143000000000001,0.11772,0.10947,0.10723999999999999,0.09777,0.10115,0.09670999999999999,0.09026999999999999,0.08681,0.08,0.07653,0.07482,0.07009,0.06914000000000001,0.06475,0.0605,0.05798,0.05722,0.05774,0.054869999999999995,0.05521,0.054240000000000003,0.05526,0.054759999999999996,0.05411,0.057030000000000004,0.05813,0.05603,0.05778,0.05737,0.05076,0.054240000000000003,0.052950000000000004,0.05472,0.05199,0.05154,0.048049999999999995,0.046490000000000004,0.0444,0.04337,0.04243
26,0.17713800000000002,0.170046,0.162798,0.15223599999999998,0.145216,0.134886,0.129536,0.120024,0.113414,0.110914,0.103498,0.101226,0.09371800000000001,0.09706400000000001,0.094328,0.08968599999999999,0.08733,0.08103199999999999,0.07979800000000001,0.07894799999999999,0.075414,0.07566200000000001,0.072612,0.06941,0.067474,0.067498,0.069856,0.066214,0.06715600000000001,0.0664,0.06675,0.06734399999999999,0.065438,0.068866,0.068444,0.066706,0.068184,0.06837,0.061426,0.065596,0.06439,0.06576399999999999,0.063066,0.061086,0.058331999999999995,0.055914,0.055729999999999995,0.0533,0.050408
27,0.165906,0.159872,0.151776,0.14224199999999998,0.134772,0.12568200000000002,0.119532,0.111648,0.10539799999999999,0.104108,0.097526,0.095212,0.089666,0.092978,0.091946,0.08910199999999999,0.08785,0.082064,0.083066,0.083076,0.080738,0.082184,0.080474,0.07831999999999999,0.07696800000000001,0.077776,0.08197199999999999,0.07755799999999999,0.079102,0.07856,0.07823999999999999,0.079928,0.07676599999999999,0.080702,0.07875800000000001,0.077382,0.07858799999999999,0.07937000000000001,0.072092,0.07695199999999999,0.07583000000000001,0.07680799999999999,0.074142,0.070632,0.06861400000000001,0.065338,0.06706000000000001,0.06323,0.05838599999999999
28,0.154674,0.14969799999999997,0.140754,0.13224799999999998,0.12432800000000001,0.116478,0.10952799999999999,0.103272,0.09738200000000001,0.09730199999999999,0.091554,0.08919800000000001,0.08561400000000001,0.088892,0.08956399999999999,0.088518,0.08837,0.083096,0.08633400000000001,0.08720399999999999,0.086062,0.08870600000000001,0.088336,0.08723,0.086462,0.08805400000000001,0.09408799999999999,0.088902,0.091048,0.09072,0.08972999999999999,0.092512,0.08809399999999999,0.092538,0.089072,0.088058,0.088992,0.09037,0.082758,0.088308,0.08727000000000001,0.087852,0.085218,0.080178,0.078896,0.074762,0.07839,0.07316,0.066364
29,0.14344200000000001,0.139524,0.129732,0.122254,0.113884,0.107274,0.099524,0.094896,0.089366,0.090496,0.08558199999999999,0.083184,0.08156200000000001,0.08480599999999999,0.087182,0.087934,0.08889,0.084128,0.089602,0.091332,0.091386,0.09522800000000001,0.096198,0.09614,0.095956,0.09833199999999999,0.10620399999999999,0.10024600000000002,0.102994,0.10288,0.10122,0.10509600000000001,0.099422,0.104374,0.099386,0.09873399999999999,0.099396,0.10137,0.09342400000000001,0.09966399999999999,0.09871,0.098896,0.096294,0.08972399999999998,0.089178,0.08418600000000001,0.08972,0.08309,0.074342
30,0.13221,0.12935,0.11871,0.11226,0.10344,0.09806999999999999,0.08952,0.08652,0.08134999999999999,0.08369,0.07961,0.07717,0.07751000000000001,0.08072,0.0848,0.08735,0.08941,0.08516,0.09287000000000001,0.09545999999999999,0.09670999999999999,0.10175,0.10406,0.10504999999999999,0.10545,0.10861,0.11832,0.11159000000000001,0.11494,0.11504,0.11270999999999999,0.11768,0.11075,0.11621,0.1097,0.10941,0.1098,0.11237,0.10409,0.11102,0.11015000000000001,0.10994,0.10737000000000001,0.09927,0.09945999999999999,0.09361,0.10105,0.09301999999999999,0.08231999999999999
31,0.11998400000000001,0.116428,0.107358,0.101384,0.09335399999999999,0.08807,0.081026,0.077446,0.07307,0.074248,0.07033400000000001,0.067684,0.06751,0.069914,0.073506,0.075428,0.07745999999999999,0.073928,0.080722,0.08276399999999999,0.084212,0.08882,0.091808,0.09295,0.094448,0.096586,0.10569799999999999,0.101172,0.104544,0.105098,0.102448,0.106854,0.101938,0.106612,0.101714,0.101696,0.10298600000000001,0.10538800000000001,0.098142,0.104256,0.103562,0.103968,0.102232,0.09484999999999999,0.095226,0.089808,0.09647599999999999,0.089434,0.079662
