edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.0001,0.0,0.0,0.0,0.00011,0.0,0.00011,0.0,0.00020999999999999998,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00011,0.00034,0.0,0.0,0.0,0.0,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031,0.00015,0.0,0.0,0.0,0.00028000000000000003,0.0,0.00014000000000000001,0.00014000000000000001,0.00013000000000000002,0.0,0.0,0.0,0.0,0.00011999999999999999,0.0,0.0,0.0
11,0.002128,0.002226,0.002468,0.002996,0.00388,0.003114,0.0028959999999999997,0.002782,0.0030859999999999998,0.002628,0.00283,0.002434,0.002278,0.001656,0.001526,0.001502,0.0013800000000000002,0.001404,0.000884,0.000978,0.000736,0.000662,0.000946,0.0008480000000000001,0.001046,0.00103,0.001242,0.001524,0.002144,0.00201,0.002598,0.00252,0.002472,0.0029379999999999996,0.002148,0.002514,0.002072,0.001966,0.001566,0.001652,0.0017239999999999998,0.001628,0.0014039999999999999,0.000968,0.001072,0.0007959999999999999,0.00076,0.0007880000000000001,0.00062
12,0.004156,0.004452,0.004936,0.005992,0.007650000000000001,0.006228,0.005682,0.005564,0.005961999999999999,0.005256,0.00566,0.004868,0.004456,0.003312,0.003052,0.003004,0.00265,0.002468,0.001768,0.001956,0.001472,0.001324,0.001742,0.0016960000000000002,0.002092,0.00206,0.002484,0.003048,0.004288,0.00402,0.005196,0.00473,0.0047940000000000005,0.005875999999999999,0.004296,0.005028,0.0038640000000000007,0.003932,0.002992,0.003164,0.0033179999999999998,0.003256,0.0028079999999999997,0.001936,0.002144,0.001472,0.00152,0.0015760000000000001,0.00124
13,0.006183999999999999,0.006678,0.007404,0.008988,0.011420000000000001,0.009342,0.008468,0.008346,0.008838,0.007884,0.008490000000000001,0.007302,0.006633999999999999,0.004968,0.0045780000000000005,0.0045060000000000005,0.00392,0.003532,0.0026520000000000003,0.002934,0.0022080000000000003,0.0019860000000000004,0.002538,0.0025440000000000007,0.0031379999999999997,0.00309,0.003726,0.004572,0.006432,0.0060300000000000015,0.007794,0.006939999999999999,0.007116000000000001,0.008814,0.006444000000000001,0.007542000000000001,0.005656000000000001,0.005898,0.004417999999999999,0.004676,0.004912,0.004884,0.004212,0.002904,0.003216,0.0021479999999999997,0.0022800000000000003,0.0023639999999999998,0.0018599999999999999
14,0.008212,0.008904,0.009872,0.011984,0.015190000000000002,0.012456,0.011254,0.011128,0.011714,0.010512,0.01132,0.009736,0.008811999999999999,0.006624,0.006104,0.006008,0.00519,0.004596,0.003536,0.003912,0.002944,0.002648,0.003334,0.0033920000000000005,0.004184,0.00412,0.004968,0.006096,0.008576,0.00804,0.010392,0.00915,0.009438,0.011751999999999999,0.008592,0.010056,0.0074480000000000015,0.007864,0.005843999999999999,0.006188,0.006506,0.006512,0.0056159999999999995,0.003872,0.004288,0.0028239999999999997,0.00304,0.0031520000000000003,0.00248
15,0.01024,0.011130000000000001,0.01234,0.01498,0.01896,0.01557,0.014039999999999999,0.01391,0.01459,0.01314,0.014150000000000001,0.01217,0.01099,0.00828,0.00763,0.00751,0.00646,0.00566,0.00442,0.004889999999999999,0.00368,0.00331,0.00413,0.00424,0.00523,0.00515,0.00621,0.00762,0.01072,0.01005,0.01299,0.011359999999999999,0.01176,0.01469,0.01074,0.01257,0.00924,0.00983,0.0072699999999999996,0.0077,0.0081,0.008140000000000001,0.007019999999999999,0.00484,0.00536,0.0035,0.0038,0.00394,0.0031
16,0.030091999999999997,0.03324800000000001,0.032555999999999995,0.034668,0.036942,0.03373999999999999,0.029769999999999998,0.028396,0.026562,0.023257999999999997,0.023574,0.020156,0.017452,0.015856,0.01374,0.013205999999999999,0.01086,0.009442,0.008407999999999999,0.008102,0.006162000000000001,0.006044000000000001,0.0061920000000000005,0.006458,0.0072840000000000005,0.007442,0.009492,0.010788,0.013632000000000002,0.013108,0.016444000000000004,0.015158,0.017366,0.02013,0.016582,0.01685,0.01377,0.013789999999999998,0.0114,0.01157,0.011116,0.011888,0.010304,0.008693999999999999,0.009574000000000001,0.007392,0.006882,0.007344,0.006224
17,0.049944,0.055366000000000005,0.052772000000000006,0.054355999999999995,0.054924,0.05191,0.0455,0.042882,0.038534,0.033375999999999996,0.032998000000000006,0.028142,0.023913999999999998,0.023431999999999994,0.019850000000000003,0.018902000000000002,0.015260000000000001,0.013224,0.012395999999999999,0.011314,0.008644,0.008778000000000001,0.008254,0.008676,0.009338,0.009734,0.012774,0.013956,0.016544,0.016166,0.019898000000000002,0.018956,0.022972000000000003,0.02557,0.022424,0.02113,0.018299999999999997,0.01775,0.01553,0.01544,0.014132,0.015636,0.013588000000000001,0.012548,0.013788,0.011284,0.009963999999999999,0.010747999999999999,0.009347999999999999
18,0.069796,0.07748400000000001,0.072988,0.074044,0.07290600000000001,0.07007999999999999,0.06123,0.057367999999999995,0.050506,0.043494,0.042422,0.036128,0.030375999999999997,0.031007999999999994,0.02596,0.024598,0.01966,0.017006,0.016384,0.014525999999999999,0.011126,0.011512,0.010315999999999999,0.010894000000000001,0.011392,0.012026,0.016056,0.017124000000000004,0.019456000000000005,0.019224,0.023352000000000005,0.022754,0.028577999999999996,0.03101,0.028266000000000006,0.025409999999999995,0.02283,0.02171,0.019660000000000004,0.019309999999999997,0.017148,0.019384000000000002,0.016872,0.016402,0.018002000000000004,0.015176000000000002,0.013045999999999999,0.014152,0.012471999999999999
19,0.08964799999999999,0.09960200000000001,0.09320400000000001,0.093732,0.09088800000000001,0.08825,0.07696000000000001,0.071854,0.06247799999999999,0.05361199999999999,0.051846,0.044114,0.036837999999999996,0.03858399999999999,0.03207,0.030294000000000005,0.02406,0.020788,0.020372,0.017738,0.013608,0.014246,0.012378,0.013112,0.013446,0.014317999999999999,0.019338,0.020292,0.022368000000000002,0.022282,0.026806000000000003,0.026552,0.034184,0.03645,0.034108000000000006,0.029689999999999998,0.02736,0.02567,0.023790000000000002,0.02318,0.020164,0.023131999999999996,0.020156,0.020256,0.022216,0.019068,0.016128,0.017556000000000002,0.015595999999999999
