ccaa_code,ccaa_name,año,nivel_formacion,media_total,nivel_formacion_code
01,Andalucía,2014,Analfabetos,3.775,1.0
01,Andalucía,2014,Educación primaria,14.625,3.0
01,Andalucía,2014,Educación superior,21.775,7.0
01,Andalucía,2014,Estudios primarios incompletos,9.85,2.0
01,Andalucía,2014,Primera etapa de Educación Secundaria y similar,31.125,
01,Andalucía,2014,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.25,6.0
01,Andalucía,2014,"Segunda etapa de educación secundaria, con orientación general",11.65,5.0
01,Andalucía,2015,Analfabetos,3.525,1.0
01,Andalucía,2015,Educación primaria,13.9,3.0
01,Andalucía,2015,Educación superior,22.45,7.0
01,Andalucía,2015,Estudios primarios incompletos,9.925,2.0
01,Andalucía,2015,Primera etapa de Educación Secundaria y similar,30.875,
01,Andalucía,2015,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.3,6.0
01,Andalucía,2015,"Segunda etapa de educación secundaria, con orientación general",12.05,5.0
01,Andalucía,2016,Analfabetos,3.2,1.0
01,Andalucía,2016,Educación primaria,13.25,3.0
01,Andalucía,2016,Educación superior,23.175,7.0
01,Andalucía,2016,Estudios primarios incompletos,9.4,2.0
01,Andalucía,2016,Primera etapa de Educación Secundaria y similar,31.575,
01,Andalucía,2016,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.525,6.0
01,Andalucía,2016,"Segunda etapa de educación secundaria, con orientación general",11.875,5.0
01,Andalucía,2017,Analfabetos,3.1,1.0
01,Andalucía,2017,Educación primaria,13.2,3.0
01,Andalucía,2017,Educación superior,23.55,7.0
01,Andalucía,2017,Estudios primarios incompletos,8.825,2.0
01,Andalucía,2017,Primera etapa de Educación Secundaria y similar,32.025,
01,Andalucía,2017,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),7.275,6.0
01,Andalucía,2017,"Segunda etapa de educación secundaria, con orientación general",12.025,5.0
01,Andalucía,2018,Analfabetos,2.775,1.0
