ccaa_code,año,1.0,2.0,3.0,5.0,6.0,7.0
01,2014,3.775,9.85,14.625,11.65,7.25,21.775
01,2015,3.525,9.925,13.9,12.05,7.3,22.45
01,2016,3.2,9.4,13.25,11.875,7.525,23.175
01,2017,3.1,8.825,13.2,12.025,7.275,23.55
01,2018,2.775,8.925,12.825,12.375,7.8,24.175
01,2019,2.575,8.45,12.525,12.425,8.15,24.7
01,2020,2.525,7.6,12.35,12.274999999999999,8.1,25.975
01,2021,2.45,6.9,11.175,11.95,8.8,27.45
01,2022,2.375,6.525,10.8,12.725,8.625,28.025
01,2023,2.1,6.55,10.575,13.05,8.4,28.825
01,2024,1.925,6.275,10.4,13.075,8.75,28.725
01,2025,1.9,6.2,10.4,12.9,8.7,28.6
02,2014,0.825,5.55,20.525,13.2,8.65,27.5
02,2015,0.9,5.275,18.725,13.4,8.675,27.475
02,2016,0.775,4.625,16.7,14.5,9.425,28.25
02,2017,0.8,3.65,16.625,13.925,9.9,28.2
02,2018,0.725,3.5999999999999996,16.45,13.2,9.8,29.35
02,2019,0.7,3.125,15.55,13.55,10.1,30.425
02,2020,0.725,2.75,15.325,14.45,10.725,30.975
02,2021,0.775,2.65,13.55,14.65,11.15,31.475
02,2022,0.95,2.625,13.775,12.575,9.975000000000001,32.525
02,2023,0.75,2.8,12.625,12.0,10.25,32.975
02,2024,0.85,2.7,12.0,12.55,10.45,31.925
02,2025,1.0,2.2,12.1,13.5,9.6,32.5
03,2014,0.6499999999999999,4.875,23.0,12.275,7.05,29.575
03,2015,0.825,4.7,21.95,13.05,7.15,30.4
03,2016,0.6,3.625,22.8,12.925,7.275,31.2
03,2017,0.75,2.75,20.425,13.1,7.45,32.075
03,2018,0.675,3.175,18.35,13.375,7.85,32.45
03,2019,0.5,3.05,15.1,13.775,7.975,32.5
03,2020,0.575,2.375,13.275,13.775,8.825,33.6
03,2021,0.575,2.625,11.524999999999999,12.8,9.075,33.575
03,2022,0.75,2.55,9.175,13.3,9.075,33.025
03,2023,0.325,2.0,8.774999999999999,13.875,9.675,33.25
03,2024,0.55,1.9,7.55,14.575,10.7,33.7
03,2025,0.5,1.9,7.1,14.0,11.0,35.9
04,2014,1.85,6.925,11.75,15.45,6.875,22.775
04,2015,1.6,6.325,10.2,16.625,7.875,22.725
04,2016,1.75,5.2,9.65,17.2,8.775,24.0
04,2017,1.425,5.0,9.375,17.0,8.1,25.375
04,2018,1.625,4.475,10.175,17.125,8.825,24.625
04,2019,1.525,3.575,10.225,16.3,8.875,26.275
04,2020,1.5,3.8,8.3,16.375,9.45,28.875
04,2021,1.275,3.2,9.0,16.825,10.275,29.425
04,2022,1.175,3.3,10.525,17.575,8.9,27.525
04,2023,1.175,3.05,11.175,17.825,9.15,27.15
04,2024,1.05,2.5,11.275,15.899999999999999,9.825,28.475
04,2025,1.0,3.7,9.2,16.7,9.7,27.9
05,2014,2.5,8.575,16.375,15.35,6.525,22.15
05,2015,2.3249999999999997,8.175,15.475,15.7,7.65,21.925
05,2016,1.925,7.375,14.675,16.4,7.225,24.2
05,2017,1.875,6.8,14.575,16.575,7.45,24.525
05,2018,1.8,6.825,13.674999999999999,15.95,7.775,25.2
05,2019,1.55,5.625,13.975,16.25,7.525,27.424999999999997
05,2020,1.85,5.7,12.475,17.925,7.525,28.724999999999998
05,2021,1.825,5.7250000000000005,11.925,17.25,7.975,29.625
05,2022,1.45,4.925,11.6,17.675,8.225,30.025
05,2023,1.325,4.65,12.3,17.675,8.925,28.3
05,2024,1.425,4.325,10.75,18.15,8.625,29.55
05,2025,1.2,4.5,9.5,18.5,8.6,30.0
06,2014,0.35,2.55,17.075,13.9,9.85,29.825000000000003
06,2015,0.475,2.25,15.85,13.15,9.475,30.05
06,2016,0.35,1.575,15.5,13.125,9.850000000000001,30.9
06,2017,0.475,1.575,14.6,13.049999999999999,10.9,31.549999999999997
06,2018,0.44999999999999996,1.1,14.775,14.774999999999999,10.775,31.55
06,2019,0.325,0.9750000000000001,13.225,14.425,10.425,32.225
06,2020,0.375,1.05,10.725,12.725,10.925,33.55
06,2021,0.275,1.125,9.725,12.325,11.4,33.925
06,2022,0.35,0.825,8.775,13.225,10.325000000000001,35.05
06,2023,0.225,0.5,8.05,13.350000000000001,10.375,38.475
06,2024,0.25,0.8999999999999999,6.125,13.6,10.675,37.7
06,2025,0.2,1.1,5.7,14.8,10.1,36.5
07,2014,0.975,5.45,19.85,12.1,7.85,25.65
07,2015,1.05,5.125,19.25,11.925,7.824999999999999,25.975
07,2016,0.95,4.7,19.15,12.175,8.35,25.75
07,2017,0.8500000000000001,4.325,17.85,12.35,8.45,26.525
07,2018,0.8250000000000001,3.75,17.3,12.475,8.5,27.174999999999997
07,2019,0.6749999999999999,3.225,17.675,12.2,8.3,28.75
07,2020,0.625,2.925,16.6,12.775,8.5,29.175
07,2021,0.55,2.55,15.525,12.575,9.25,29.8
07,2022,0.6499999999999999,2.5,15.25,13.3,9.1,30.375
07,2023,0.575,2.85,14.9,13.35,9.225,31.0
07,2024,0.7,2.875,13.4,13.075,9.425,31.75
07,2025,0.7,2.5,13.6,13.9,9.2,31.5
08,2014,2.4,11.975000000000001,13.975000000000001,12.35,6.85,20.925
08,2015,2.325,11.075,13.6,12.5,7.175,20.95
08,2016,2.3249999999999997,10.575,13.525,12.1,7.125,21.0
08,2017,2.3499999999999996,10.3,12.775,12.4,7.275,21.075
08,2018,2.05,9.524999999999999,12.2,12.75,7.225,21.725
08,2019,2.05,8.0,12.9,12.45,7.6,23.05
08,2020,1.65,7.375,12.475,12.9,7.75,23.925
08,2021,1.65,7.125,11.825,13.65,7.95,24.65
08,2022,1.425,7.300000000000001,12.05,13.375,7.875,25.075
08,2023,1.3,7.05,11.65,12.875,7.975,26.0
08,2024,1.15,6.175,11.05,12.8,8.15,26.5
08,2025,1.1,5.5,10.7,13.9,8.4,26.5
09,2014,1.525,6.275,17.675,12.05,6.825,28.75
09,2015,1.7000000000000002,5.675,17.0,12.2,7.199999999999999,29.2
09,2016,1.5,5.6,16.325,12.95,7.2,30.125
09,2017,1.325,5.3,15.825,12.7,7.2,30.85
09,2018,1.325,5.125,14.55,12.6,7.6,31.975
09,2019,1.35,4.5,13.55,12.75,7.5,32.9
09,2020,1.25,4.275,12.4,12.425,7.975,32.975
09,2021,1.325,4.275,12.225,13.425,7.875,33.35
09,2022,1.425,4.05,12.25,13.475,8.025,34.175
09,2023,1.2,3.425,12.3,14.05,7.825,35.05
09,2024,1.0,3.05,11.625,14.4,7.824999999999999,36.15
09,2025,1.1,2.9,11.6,13.8,8.1,37.2
10,2014,1.825,6.625,12.9,13.025,8.075,25.2
10,2015,1.7000000000000002,6.275,11.075,12.875,8.4,25.725
10,2016,1.85,5.65,10.95,12.875,8.775,26.075
10,2017,1.775,5.675,10.925,13.775,8.475,26.125
10,2018,1.65,5.725,10.45,13.275,8.775,27.675
10,2019,1.425,5.0,10.05,13.35,8.8,29.0
10,2020,1.325,4.775,8.05,14.375,9.1,30.05
10,2021,1.375,4.1,8.4,14.025,9.125,30.575
10,2022,1.4,4.125,8.375,12.3,9.3,30.025
10,2023,1.225,4.575,8.35,11.875,9.65,30.775
10,2024,1.225,4.55,7.8,13.274999999999999,9.6,30.35
10,2025,1.1,4.2,7.9,12.6,9.4,30.0
11,2014,3.375,11.6,12.875,9.65,5.8,20.15
11,2015,2.9,10.7,13.725,9.7,6.1,20.375
11,2016,2.65,10.475,14.55,9.825,6.525,19.275
11,2017,2.9,10.75,12.075000000000001,10.1,6.325,20.275
11,2018,3.0,10.05,13.925,10.350000000000001,7.225,20.5
11,2019,3.2750000000000004,8.825,15.075,10.6,7.7,20.575
11,2020,2.9,8.075,14.275,11.25,8.399999999999999,20.975
11,2021,2.55,8.15,13.075,11.25,7.9750000000000005,22.8
11,2022,2.275,7.5,13.6,11.025,8.075,24.35
11,2023,2.1750000000000003,6.975,13.175,11.175,8.25,26.15
11,2024,2.325,6.975,12.65,11.55,7.25,26.925
11,2025,2.3,7.2,12.7,11.5,7.2,25.5
12,2014,1.35,6.8,19.6,10.6,6.6,24.8
12,2015,1.275,7.3,18.225,11.025,6.75,25.975
12,2016,1.175,7.4,16.625,10.875,7.125,26.6
12,2017,1.175,7.6,16.3,10.8,7.225,26.85
12,2018,1.15,7.275,15.45,11.65,7.35,27.0
12,2019,1.0750000000000002,5.75,13.95,11.975,7.725,27.9
12,2020,0.95,4.875,11.45,12.3,7.575,29.7
12,2021,0.8,4.85,10.6,12.25,7.6,30.425
12,2022,0.95,4.55,9.4,12.075,7.8,30.975
12,2023,0.9,3.575,10.575000000000001,12.625,8.25,30.525
12,2024,0.775,3.3,10.95,12.2,8.85,30.95
12,2025,0.8,3.3,10.8,11.8,9.1,31.4
13,2014,0.8,4.925,10.725,18.25,5.15,38.475
13,2015,0.775,4.95,10.775,18.275,5.4,37.9
13,2016,0.825,4.175,11.375,18.575,4.975,37.675
13,2017,0.875,3.425,10.425,19.05,5.65,38.0
13,2018,0.775,3.3,10.425,18.475,5.875,38.15
13,2019,0.6499999999999999,3.2,9.850000000000001,19.125,5.675,39.650000000000006
13,2020,0.7,2.8,9.2,19.425,5.975,40.475
13,2021,0.7,2.75,8.9,19.125,5.975,40.75
13,2022,0.55,2.225,9.7,19.6,6.0,40.75
13,2023,0.55,2.2,10.525,18.175,6.325,40.625
13,2024,0.6499999999999999,1.9,10.225,18.35,6.425,41.2
13,2025,0.6,2.0,10.0,18.6,6.8,40.9
14,2014,3.725,8.649999999999999,14.5,12.475,8.225,21.65
14,2015,3.75,9.0,13.375,12.575,8.075,22.175
14,2016,3.5500000000000003,8.375,13.225,12.225,8.3,22.65
14,2017,3.0,7.525,12.175,13.0,8.1,23.675
14,2018,2.825,7.15,10.275,12.925,8.225,25.075
14,2019,3.25,6.35,10.2,12.2,8.525,25.425
14,2020,2.55,6.25,9.925,12.8,8.625,26.625
14,2021,2.525,5.8,9.075,13.274999999999999,8.475,27.25
14,2022,2.625,6.375,8.375,13.375,8.675,24.975
14,2023,2.65,6.35,8.5,13.675,8.3,26.15
