Sexo	Comunidades y Ciudades Autónomas	Nivel de formación alcanzado	Periodo	Total
Ambos sexos	Total Nacional	Total	2025T1	100
Ambos sexos	Total Nacional	Total	2024T4	100
Ambos sexos	Total Nacional	Total	2024T3	100
Ambos sexos	Total Nacional	Total	2024T2	100
Ambos sexos	Total Nacional	Total	2024T1	100
Ambos sexos	Total Nacional	Total	2023T4	100
Ambos sexos	Total Nacional	Total	2023T3	100
Ambos sexos	Total Nacional	Total	2023T2	100
Ambos sexos	Total Nacional	Total	2023T1	100
Ambos sexos	Total Nacional	Total	2022T4	100
Ambos sexos	Total Nacional	Total	2022T3	100
Ambos sexos	Total Nacional	Total	2022T2	100
Ambos sexos	Total Nacional	Total	2022T1	100
Ambos sexos	Total Nacional	Total	2021T4	100
Ambos sexos	Total Nacional	Total	2021T3	100
Ambos sexos	Total Nacional	Total	2021T2	100
Ambos sexos	Total Nacional	Total	2021T1	100
Ambos sexos	Total Nacional	Total	2020T4	100
Ambos sexos	Total Nacional	Total	2020T3	100
Ambos sexos	Total Nacional	Total	2020T2	100
Ambos sexos	Total Nacional	Total	2020T1	100
Ambos sexos	Total Nacional	Total	2019T4	100
Ambos sexos	Total Nacional	Total	2019T3	100
Ambos sexos	Total Nacional	Total	2019T2	100
Ambos sexos	Total Nacional	Total	2019T1	100
Ambos sexos	Total Nacional	Total	2018T4	100
Ambos sexos	Total Nacional	Total	2018T3	100
Ambos sexos	Total Nacional	Total	2018T2	100
Ambos sexos	Total Nacional	Total	2018T1	100
Ambos sexos	Total Nacional	Total	2017T4	100
Ambos sexos	Total Nacional	Total	2017T3	100
Ambos sexos	Total Nacional	Total	2017T2	100
Ambos sexos	Total Nacional	Total	2017T1	100
Ambos sexos	Total Nacional	Total	2016T4	100
Ambos sexos	Total Nacional	Total	2016T3	100
Ambos sexos	Total Nacional	Total	2016T2	100
Ambos sexos	Total Nacional	Total	2016T1	100
Ambos sexos	Total Nacional	Total	2015T4	100
Ambos sexos	Total Nacional	Total	2015T3	100
Ambos sexos	Total Nacional	Total	2015T2	100
Ambos sexos	Total Nacional	Total	2015T1	100
Ambos sexos	Total Nacional	Total	2014T4	100
Ambos sexos	Total Nacional	Total	2014T3	100
Ambos sexos	Total Nacional	Total	2014T2	100
Ambos sexos	Total Nacional	Total	2014T1	100
Ambos sexos	Total Nacional	Analfabetos	2025T1	1,2
Ambos sexos	Total Nacional	Analfabetos	2024T4	1,1
Ambos sexos	Total Nacional	Analfabetos	2024T3	1,2
Ambos sexos	Total Nacional	Analfabetos	2024T2	1,2
Ambos sexos	Total Nacional	Analfabetos	2024T1	1,3
Ambos sexos	Total Nacional	Analfabetos	2023T4	1,2
Ambos sexos	Total Nacional	Analfabetos	2023T3	1,2
Ambos sexos	Total Nacional	Analfabetos	2023T2	1,3
Ambos sexos	Total Nacional	Analfabetos	2023T1	1,3
Ambos sexos	Total Nacional	Analfabetos	2022T4	1,3
Ambos sexos	Total Nacional	Analfabetos	2022T3	1,3
Ambos sexos	Total Nacional	Analfabetos	2022T2	1,4
Ambos sexos	Total Nacional	Analfabetos	2022T1	1,4
Ambos sexos	Total Nacional	Analfabetos	2021T4	1,4
Ambos sexos	Total Nacional	Analfabetos	2021T3	1,4
Ambos sexos	Total Nacional	Analfabetos	2021T2	1,4
Ambos sexos	Total Nacional	Analfabetos	2021T1	1,4
Ambos sexos	Total Nacional	Analfabetos	2020T4	1,4
Ambos sexos	Total Nacional	Analfabetos	2020T3	1,4
Ambos sexos	Total Nacional	Analfabetos	2020T2	1,4
Ambos sexos	Total Nacional	Analfabetos	2020T1	1,5
Ambos sexos	Total Nacional	Analfabetos	2019T4	1,4
Ambos sexos	Total Nacional	Analfabetos	2019T3	1,5
Ambos sexos	Total Nacional	Analfabetos	2019T2	1,5
Ambos sexos	Total Nacional	Analfabetos	2019T1	1,5
Ambos sexos	Total Nacional	Analfabetos	2018T4	1,5
Ambos sexos	Total Nacional	Analfabetos	2018T3	1,5
Ambos sexos	Total Nacional	Analfabetos	2018T2	1,6
Ambos sexos	Total Nacional	Analfabetos	2018T1	1,6
Ambos sexos	Total Nacional	Analfabetos	2017T4	1,7
Ambos sexos	Total Nacional	Analfabetos	2017T3	1,7
Ambos sexos	Total Nacional	Analfabetos	2017T2	1,7
Ambos sexos	Total Nacional	Analfabetos	2017T1	1,8
Ambos sexos	Total Nacional	Analfabetos	2016T4	1,7
Ambos sexos	Total Nacional	Analfabetos	2016T3	1,7
Ambos sexos	Total Nacional	Analfabetos	2016T2	1,7
Ambos sexos	Total Nacional	Analfabetos	2016T1	1,8
Ambos sexos	Total Nacional	Analfabetos	2015T4	1,8
Ambos sexos	Total Nacional	Analfabetos	2015T3	1,8
Ambos sexos	Total Nacional	Analfabetos	2015T2	1,9
Ambos sexos	Total Nacional	Analfabetos	2015T1	1,9
Ambos sexos	Total Nacional	Analfabetos	2014T4	1,9
Ambos sexos	Total Nacional	Analfabetos	2014T3	1,9
Ambos sexos	Total Nacional	Analfabetos	2014T2	1,9
Ambos sexos	Total Nacional	Analfabetos	2014T1	1,9
Ambos sexos	Total Nacional	Estudios primarios incompletos	2025T1	3,7
Ambos sexos	Total Nacional	Estudios primarios incompletos	2024T4	3,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2024T3	3,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2024T2	3,9
Ambos sexos	Total Nacional	Estudios primarios incompletos	2024T1	3,9
Ambos sexos	Total Nacional	Estudios primarios incompletos	2023T4	4
Ambos sexos	Total Nacional	Estudios primarios incompletos	2023T3	4,1
Ambos sexos	Total Nacional	Estudios primarios incompletos	2023T2	4,2
Ambos sexos	Total Nacional	Estudios primarios incompletos	2023T1	4,1
Ambos sexos	Total Nacional	Estudios primarios incompletos	2022T4	4,1
Ambos sexos	Total Nacional	Estudios primarios incompletos	2022T3	4,2
Ambos sexos	Total Nacional	Estudios primarios incompletos	2022T2	4,3
Ambos sexos	Total Nacional	Estudios primarios incompletos	2022T1	4,4
Ambos sexos	Total Nacional	Estudios primarios incompletos	2021T4	4,4
Ambos sexos	Total Nacional	Estudios primarios incompletos	2021T3	4,3
Ambos sexos	Total Nacional	Estudios primarios incompletos	2021T2	4,6
Ambos sexos	Total Nacional	Estudios primarios incompletos	2021T1	4,7
Ambos sexos	Total Nacional	Estudios primarios incompletos	2020T4	4,7
Ambos sexos	Total Nacional	Estudios primarios incompletos	2020T3	4,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2020T2	4,7
Ambos sexos	Total Nacional	Estudios primarios incompletos	2020T1	4,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2019T4	5
Ambos sexos	Total Nacional	Estudios primarios incompletos	2019T3	5
Ambos sexos	Total Nacional	Estudios primarios incompletos	2019T2	5,2
Ambos sexos	Total Nacional	Estudios primarios incompletos	2019T1	5,3
Ambos sexos	Total Nacional	Estudios primarios incompletos	2018T4	5,6
Ambos sexos	Total Nacional	Estudios primarios incompletos	2018T3	5,7
Ambos sexos	Total Nacional	Estudios primarios incompletos	2018T2	5,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2018T1	5,9
Ambos sexos	Total Nacional	Estudios primarios incompletos	2017T4	5,9
Ambos sexos	Total Nacional	Estudios primarios incompletos	2017T3	5,9
Ambos sexos	Total Nacional	Estudios primarios incompletos	2017T2	6
Ambos sexos	Total Nacional	Estudios primarios incompletos	2017T1	5,9
Ambos sexos	Total Nacional	Estudios primarios incompletos	2016T4	6,1
Ambos sexos	Total Nacional	Estudios primarios incompletos	2016T3	6,2
Ambos sexos	Total Nacional	Estudios primarios incompletos	2016T2	6,4
Ambos sexos	Total Nacional	Estudios primarios incompletos	2016T1	6,5
Ambos sexos	Total Nacional	Estudios primarios incompletos	2015T4	6,6
Ambos sexos	Total Nacional	Estudios primarios incompletos	2015T3	6,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2015T2	6,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2015T1	6,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2014T4	6,8
Ambos sexos	Total Nacional	Estudios primarios incompletos	2014T3	6,9
Ambos sexos	Total Nacional	Estudios primarios incompletos	2014T2	7,1
Ambos sexos	Total Nacional	Estudios primarios incompletos	2014T1	7,2
Ambos sexos	Total Nacional	Educación primaria	2025T1	10,3
Ambos sexos	Total Nacional	Educación primaria	2024T4	10,2
Ambos sexos	Total Nacional	Educación primaria	2024T3	10,4
Ambos sexos	Total Nacional	Educación primaria	2024T2	10,7
Ambos sexos	Total Nacional	Educación primaria	2024T1	10,7
Ambos sexos	Total Nacional	Educación primaria	2023T4	10,7
Ambos sexos	Total Nacional	Educación primaria	2023T3	10,8
Ambos sexos	Total Nacional	Educación primaria	2023T2	11
Ambos sexos	Total Nacional	Educación primaria	2023T1	11,2
Ambos sexos	Total Nacional	Educación primaria	2022T4	11,1
Ambos sexos	Total Nacional	Educación primaria	2022T3	10,8
Ambos sexos	Total Nacional	Educación primaria	2022T2	10,9
Ambos sexos	Total Nacional	Educación primaria	2022T1	10,7
Ambos sexos	Total Nacional	Educación primaria	2021T4	10,9
Ambos sexos	Total Nacional	Educación primaria	2021T3	11,1
Ambos sexos	Total Nacional	Educación primaria	2021T2	11
Ambos sexos	Total Nacional	Educación primaria	2021T1	10,9
Ambos sexos	Total Nacional	Educación primaria	2020T4	11
Ambos sexos	Total Nacional	Educación primaria	2020T3	11,2
Ambos sexos	Total Nacional	Educación primaria	2020T2	11,8
Ambos sexos	Total Nacional	Educación primaria	2020T1	12,2
Ambos sexos	Total Nacional	Educación primaria	2019T4	12,4
Ambos sexos	Total Nacional	Educación primaria	2019T3	12,5
Ambos sexos	Total Nacional	Educación primaria	2019T2	12,7
Ambos sexos	Total Nacional	Educación primaria	2019T1	13
Ambos sexos	Total Nacional	Educación primaria	2018T4	13
Ambos sexos	Total Nacional	Educación primaria	2018T3	13
Ambos sexos	Total Nacional	Educación primaria	2018T2	13,3
Ambos sexos	Total Nacional	Educación primaria	2018T1	13,5
Ambos sexos	Total Nacional	Educación primaria	2017T4	13,5
Ambos sexos	Total Nacional	Educación primaria	2017T3	13,6
Ambos sexos	Total Nacional	Educación primaria	2017T2	13,8
Ambos sexos	Total Nacional	Educación primaria	2017T1	14,1
Ambos sexos	Total Nacional	Educación primaria	2016T4	14,1
Ambos sexos	Total Nacional	Educación primaria	2016T3	14,2
Ambos sexos	Total Nacional	Educación primaria	2016T2	14,5
Ambos sexos	Total Nacional	Educación primaria	2016T1	14,5
Ambos sexos	Total Nacional	Educación primaria	2015T4	14,5
Ambos sexos	Total Nacional	Educación primaria	2015T3	14,7
Ambos sexos	Total Nacional	Educación primaria	2015T2	14,8
Ambos sexos	Total Nacional	Educación primaria	2015T1	14,9
Ambos sexos	Total Nacional	Educación primaria	2014T4	15,1
Ambos sexos	Total Nacional	Educación primaria	2014T3	15,3
Ambos sexos	Total Nacional	Educación primaria	2014T2	15,6
Ambos sexos	Total Nacional	Educación primaria	2014T1	16,1
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2025T1	28,4
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2024T4	28,1
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2024T3	28,1
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2024T2	28,7
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2024T1	28,5
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2023T4	28,4
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2023T3	28,1
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2023T2	28,5
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2023T1	28,8
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2022T4	28,8
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2022T3	28,4
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2022T2	28,9
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2022T1	29,1
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2021T4	28,6
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2021T3	28,3
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2021T2	28,9
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2021T1	29
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2020T4	28,6
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2020T3	28,6
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2020T2	29,1
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2020T1	29
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2019T4	28,7
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2019T3	28,7
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2019T2	29
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2019T1	28,7
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2018T4	28,5
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2018T3	28,6
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2018T2	29
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2018T1	29
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2017T4	28,8
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2017T3	28,8
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2017T2	29,1
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2017T1	29
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2016T4	28,8
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2016T3	28,5
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2016T2	28,6
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2016T1	28,8
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2015T4	28,6
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2015T3	28,4
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2015T2	28,6
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2015T1	28,6
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2014T4	28,3
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2014T3	28,3
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2014T2	28,3
Ambos sexos	Total Nacional	Primera etapa de Educación Secundaria y similar	2014T1	28
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2025T1	14,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2024T4	14,7
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2024T3	14,3
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2024T2	14,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2024T1	14,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2023T4	13,9
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2023T3	14,2
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2023T2	14,1
Ambos sexos	Total Nacional	Segunda etapa de educación secundaria, con orientación general	2023T1	14,1
