comunidad_code,año,total
1.0,2021,2.5875
1.0,2022,2.565
1.0,2023,2.55
1.0,2024,2.5475
1.0,2025,2.55
2.0,2021,2.415
2.0,2022,2.3925
2.0,2023,2.39
2.0,2024,2.39
2.0,2025,2.4
3.0,2021,2.2375
3.0,2022,2.22
3.0,2023,2.2125
3.0,2024,2.21
3.0,2025,2.22
4.0,2021,2.645
4.0,2022,2.635
4.0,2023,2.645
4.0,2024,2.6575
4.0,2025,2.66
5.0,2021,2.6275
5.0,2022,2.605
5.0,2023,2.6
5.0,2024,2.6075
5.0,2025,2.61
6.0,2021,2.4225000000000003
6.0,2022,2.4025
6.0,2023,2.3925
6.0,2024,2.39
6.0,2025,2.4
7.0,2021,2.2925
7.0,2022,2.2675
7.0,2023,2.255
7.0,2024,2.255
7.0,2025,2.26
9.0,2021,2.5549999999999997
9.0,2022,2.53
9.0,2023,2.53
9.0,2024,2.54
9.0,2025,2.54
10.0,2021,2.4775
10.0,2022,2.46
10.0,2023,2.4625
10.0,2024,2.475
10.0,2025,2.48
11.0,2021,2.4175
11.0,2022,2.39
11.0,2023,2.37
11.0,2024,2.3675
11.0,2025,2.37
12.0,2021,2.4425
12.0,2022,2.4175
12.0,2023,2.4025
12.0,2024,2.4
12.0,2025,2.4
13.0,2021,2.605
13.0,2022,2.5875
13.0,2023,2.5825
13.0,2024,2.6025
13.0,2025,2.61
14.0,2021,2.775
14.0,2022,2.7575
14.0,2023,2.745
14.0,2024,2.74
14.0,2025,2.75
15.0,2021,2.545
15.0,2022,2.53
15.0,2023,2.5225
15.0,2024,2.5275
15.0,2025,2.53
16.0,2021,2.375
16.0,2022,2.35
16.0,2023,2.3449999999999998
16.0,2024,2.3475
16.0,2025,2.35
17.0,2021,2.39
17.0,2022,2.3725
17.0,2023,2.3625
17.0,2024,2.36
17.0,2025,2.36
18.0,2021,3.2225
18.0,2022,3.175
18.0,2023,3.1475
18.0,2024,3.14
18.0,2025,3.14
19.0,2021,3.3
19.0,2022,3.225
19.0,2023,3.2
19.0,2024,3.1950000000000003
19.0,2025,3.2
