mun_code,valor_mapa
01001,1915.68
01002,7861.4
01003,1112.74
01004,1211.17
01006,148.76
01008,797.99
01009,1067.06
01010,2047.34
01011,190.5
01013,576.37
01014,298.48
01016,333.39
01017,708.65
01018,1195.68
01019,134.42
01020,271.18
01021,390.34
01022,708.34
01023,227.38
01027,336.78
01028,1015.91
01030,107.41
01031,872.44
01032,458.72
01033,611.81
01034,142.49
01036,12990.33
01037,499.7
01039,155.84
01041,142.4
01042,769.94
01043,2004.12
01044,177.31
01046,527.53
01047,906.93
01049,113.17
01051,4030.45
01052,223.32
01053,466.3
01054,945.91
01055,684.8
01056,150.08
01057,200.9
01058,1276.05
01059,230355.77
01060,181.97
01061,120.86
01062,281.83
01063,1545.87
01901,2363.93
01902,585.18
02001,141623.01
02002,85915.16
02004,134557.38
02005,110479.85
02006,107986.29
02007,202558.27
02008,232909.52
02009,5335304.88
02010,381048.13
02011,105206.86
02012,412522.95
02013,26942.52
02014,69596.53
02015,328963.15
02016,100002.48
02017,140351.7
02018,176195.27
02019,472481.6
02020,85944.04
02021,226171.62
02022,60060.4
02023,98735.56
02024,781678.08
02025,1997385.15
02026,224450.87
02027,58195.4
02028,21446.7
02029,714478.02
02030,623484.99
02031,121435.13
02032,51237.89
02033,436106.31
02034,335818.79
02035,456968.11
02036,19265.12
02037,6834994.71
02038,60461.66
02039,190874.43
02040,110348.46
02041,61495.17
02042,170653.56
02043,232000.4
02044,204888.59
02045,767962.48
02046,232958.1
02047,21043.45
02048,266927.7
02049,148419.98
02050,18953.17
02051,353952.16
02052,97470.41
02053,599715.26
02054,97374.77
02055,205016.05
02056,350334.64
02057,416571.6
02058,58928.28
02059,57545.61
02060,249184.24
02061,116249.71
02062,82095.07
02063,261018.25
02064,68127.48
02065,88218.66
02066,44475.57
02067,237481.68
02068,65165.13
02069,3098375.64
02070,83828.77
02071,216756.23
02072,311110.39
02073,1193258.35
02074,1504231.92
02075,348979.84
02076,60985.55
02077,10923.31
02078,194119.14
02079,666153.86
02080,96171.95
02081,5384251.08
02082,20510.4
02083,36254.13
02084,58356.32
02085,60289.99
02086,478038.62
02901,497113.91
03001,113247.71
03002,817511.13
03003,94658.63
03004,168926.24
03005,2581379.32
03006,210072.59
03007,39710.27
03008,29028.29
03009,14128425.28
03010,69429.88
03011,4424185.9
03012,545284.44
03013,237211.08
03015,4373138.38
03016,21369.99
03017,96897.34
03018,4662255.81
03019,4579291.77
03020,23342.15
03021,1390632.87
03022,27055.66
03023,299986.37
03024,1075783.08
03025,323333.87
03026,362984.23
03027,39658.88
03028,200391.63
03029,85996.6
03030,177800.58
03031,15768570.29
03032,18723.42
03033,24318.87
03034,566499.13
03035,127966.86
03036,17199.93
03037,82706.05
03038,68506.44
03039,18807.65
03040,75820.78
03041,2412711.6
03042,816549.84
03043,644455.58
03044,1318377.94
03045,74748.15
03046,589734.98
03047,5416410.16
03048,1423649.33
03049,3991506.68
03050,6016471.13
03051,74015.22
03052,205658.67
03053,2007119.2
03054,82175.89
