month;metric_value;municipality_id;municipality_name;policy_scenario;metric_name
2014-01-01;0,069;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-02-01;0,071;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-03-01;0,39;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-04-01;0,387;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-05-01;0,401;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-06-01;0,41;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-07-01;0,372;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-08-01;0,363;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-09-01;0,437;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-10-01;0,365;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-11-01;0,387;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-12-01;0,358;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-01-01;0,354;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-02-01;0,416;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-03-01;0,373;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-04-01;0,616;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-05-01;0,508;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-06-01;0,444;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-07-01;0,608;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-08-01;0,386;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-09-01;0,555;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-10-01;0,412;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-11-01;0,464;10201;Valdemorales;Pol:All (C0);gdp_percapita
2015-12-01;0,493;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-01-01;0,47;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-02-01;0,482;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-03-01;0,454;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-04-01;0,393;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-05-01;0,603;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-06-01;0,499;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-07-01;0,429;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-08-01;0,699;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-09-01;0,48;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-10-01;0,473;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-11-01;0,583;10201;Valdemorales;Pol:All (C0);gdp_percapita
2016-12-01;0,498;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-01-01;0,423;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-02-01;0,854;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-03-01;0,563;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-04-01;0,514;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-05-01;0,658;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-06-01;0,573;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-07-01;0,884;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-08-01;0,558;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-09-01;0,725;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-10-01;0,622;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-11-01;0,544;10201;Valdemorales;Pol:All (C0);gdp_percapita
2017-12-01;0,793;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-01-01;0,667;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-02-01;0,478;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-03-01;0,56;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-04-01;0,656;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-05-01;1,252;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-06-01;1,096;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-07-01;0,923;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-08-01;0,849;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-09-01;0,884;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-10-01;1,13;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-11-01;1,168;10201;Valdemorales;Pol:All (C0);gdp_percapita
2018-12-01;0,766;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-01-01;0,66;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-02-01;0,979;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-03-01;0,574;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-04-01;0,616;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-05-01;1,717;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-06-01;0,86;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-07-01;1,382;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-08-01;0,774;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-09-01;0,408;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-10-01;1,048;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-11-01;0,471;10201;Valdemorales;Pol:All (C0);gdp_percapita
2019-12-01;0,426;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-01-01;3,265;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-02-01;0,606;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-03-01;1,724;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-04-01;0,427;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-05-01;0,393;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-06-01;0,45;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-07-01;2,885;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-08-01;1,759;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-09-01;0,437;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-10-01;0,493;10201;Valdemorales;Pol:All (C0);gdp_percapita
2020-11-01;0,355;10201;Valdemorales;Pol:All (C0);gdp_percapita
2014-01-01;0,089;12002;Aín;Pol:All (C0);gdp_percapita
2014-02-01;0,09;12002;Aín;Pol:All (C0);gdp_percapita
2014-03-01;0,06;12002;Aín;Pol:All (C0);gdp_percapita
2014-04-01;0,151;12002;Aín;Pol:All (C0);gdp_percapita
2014-05-01;0,1;12002;Aín;Pol:All (C0);gdp_percapita
2014-06-01;1,024;12002;Aín;Pol:All (C0);gdp_percapita
2014-07-01;1,024;12002;Aín;Pol:All (C0);gdp_percapita
