month;metric_value;municipality_id;municipality_name;policy_scenario;metric_name
2014-01-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-02-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-03-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-04-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-05-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-06-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-07-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-08-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-09-01;0,0;10201;Valdemorales;Pol:All (C0);licenses
2014-10-01;1,0;10201;Valdemorales;Pol:All (C0);licenses
2014-11-01;2,0;10201;Valdemorales;Pol:All (C0);licenses
2014-12-01;2,0;10201;Valdemorales;Pol:All (C0);licenses
2015-01-01;3,0;10201;Valdemorales;Pol:All (C0);licenses
2015-02-01;3,0;10201;Valdemorales;Pol:All (C0);licenses
2015-03-01;3,0;10201;Valdemorales;Pol:All (C0);licenses
2015-04-01;3,0;10201;Valdemorales;Pol:All (C0);licenses
2015-05-01;4,0;10201;Valdemorales;Pol:All (C0);licenses
2015-06-01;4,0;10201;Valdemorales;Pol:All (C0);licenses
2015-07-01;4,0;10201;Valdemorales;Pol:All (C0);licenses
2015-08-01;5,0;10201;Valdemorales;Pol:All (C0);licenses
2015-09-01;5,0;10201;Valdemorales;Pol:All (C0);licenses
2015-10-01;5,0;10201;Valdemorales;Pol:All (C0);licenses
2015-11-01;6,0;10201;Valdemorales;Pol:All (C0);licenses
2015-12-01;6,0;10201;Valdemorales;Pol:All (C0);licenses
2016-01-01;6,0;10201;Valdemorales;Pol:All (C0);licenses
2016-02-01;7,0;10201;Valdemorales;Pol:All (C0);licenses
2016-03-01;8,0;10201;Valdemorales;Pol:All (C0);licenses
2016-04-01;8,0;10201;Valdemorales;Pol:All (C0);licenses
2016-05-01;9,0;10201;Valdemorales;Pol:All (C0);licenses
2016-06-01;10,0;10201;Valdemorales;Pol:All (C0);licenses
2016-07-01;11,0;10201;Valdemorales;Pol:All (C0);licenses
2016-08-01;11,0;10201;Valdemorales;Pol:All (C0);licenses
2016-09-01;11,0;10201;Valdemorales;Pol:All (C0);licenses
2016-10-01;12,0;10201;Valdemorales;Pol:All (C0);licenses
2016-11-01;13,0;10201;Valdemorales;Pol:All (C0);licenses
2016-12-01;14,0;10201;Valdemorales;Pol:All (C0);licenses
2017-01-01;15,0;10201;Valdemorales;Pol:All (C0);licenses
2017-02-01;15,0;10201;Valdemorales;Pol:All (C0);licenses
2017-03-01;16,0;10201;Valdemorales;Pol:All (C0);licenses
2017-04-01;16,0;10201;Valdemorales;Pol:All (C0);licenses
2017-05-01;17,0;10201;Valdemorales;Pol:All (C0);licenses
2017-06-01;18,0;10201;Valdemorales;Pol:All (C0);licenses
2017-07-01;19,0;10201;Valdemorales;Pol:All (C0);licenses
2017-08-01;20,0;10201;Valdemorales;Pol:All (C0);licenses
2017-09-01;21,0;10201;Valdemorales;Pol:All (C0);licenses
2017-10-01;21,0;10201;Valdemorales;Pol:All (C0);licenses
2017-11-01;21,0;10201;Valdemorales;Pol:All (C0);licenses
2017-12-01;21,0;10201;Valdemorales;Pol:All (C0);licenses
2018-01-01;21,0;10201;Valdemorales;Pol:All (C0);licenses
2018-02-01;22,0;10201;Valdemorales;Pol:All (C0);licenses
2018-03-01;23,0;10201;Valdemorales;Pol:All (C0);licenses
2018-04-01;23,0;10201;Valdemorales;Pol:All (C0);licenses
2018-05-01;24,0;10201;Valdemorales;Pol:All (C0);licenses
2018-06-01;24,0;10201;Valdemorales;Pol:All (C0);licenses
2018-07-01;24,0;10201;Valdemorales;Pol:All (C0);licenses
2018-08-01;25,0;10201;Valdemorales;Pol:All (C0);licenses
2018-09-01;25,0;10201;Valdemorales;Pol:All (C0);licenses
2018-10-01;25,0;10201;Valdemorales;Pol:All (C0);licenses
2018-11-01;25,0;10201;Valdemorales;Pol:All (C0);licenses
2018-12-01;26,0;10201;Valdemorales;Pol:All (C0);licenses
2019-01-01;27,0;10201;Valdemorales;Pol:All (C0);licenses
2019-02-01;27,0;10201;Valdemorales;Pol:All (C0);licenses
2019-03-01;28,0;10201;Valdemorales;Pol:All (C0);licenses
2019-04-01;28,0;10201;Valdemorales;Pol:All (C0);licenses
