month;metric_value;municipality_id;municipality_name;policy_scenario;metric_name
2014-01-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-02-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-03-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-04-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-05-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-06-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-07-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-08-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-09-01;247,0;10201;Valdemorales;Pol:All (C0);pop
2014-10-01;249,0;10201;Valdemorales;Pol:All (C0);pop
2014-11-01;250,0;10201;Valdemorales;Pol:All (C0);pop
2014-12-01;250,0;10201;Valdemorales;Pol:All (C0);pop
2015-01-01;250,0;10201;Valdemorales;Pol:All (C0);pop
2015-02-01;250,0;10201;Valdemorales;Pol:All (C0);pop
2015-03-01;250,0;10201;Valdemorales;Pol:All (C0);pop
2015-04-01;250,0;10201;Valdemorales;Pol:All (C0);pop
2015-05-01;250,0;10201;Valdemorales;Pol:All (C0);pop
2015-06-01;250,0;10201;Valdemorales;Pol:All (C0);pop
2015-07-01;251,0;10201;Valdemorales;Pol:All (C0);pop
2015-08-01;251,0;10201;Valdemorales;Pol:All (C0);pop
2015-09-01;251,0;10201;Valdemorales;Pol:All (C0);pop
2015-10-01;251,0;10201;Valdemorales;Pol:All (C0);pop
2015-11-01;251,0;10201;Valdemorales;Pol:All (C0);pop
2015-12-01;251,0;10201;Valdemorales;Pol:All (C0);pop
2016-01-01;251,0;10201;Valdemorales;Pol:All (C0);pop
2016-02-01;252,0;10201;Valdemorales;Pol:All (C0);pop
2016-03-01;253,0;10201;Valdemorales;Pol:All (C0);pop
2016-04-01;253,0;10201;Valdemorales;Pol:All (C0);pop
2016-05-01;253,0;10201;Valdemorales;Pol:All (C0);pop
2016-06-01;253,0;10201;Valdemorales;Pol:All (C0);pop
2016-07-01;254,0;10201;Valdemorales;Pol:All (C0);pop
2016-08-01;254,0;10201;Valdemorales;Pol:All (C0);pop
2016-09-01;254,0;10201;Valdemorales;Pol:All (C0);pop
2016-10-01;254,0;10201;Valdemorales;Pol:All (C0);pop
2016-11-01;254,0;10201;Valdemorales;Pol:All (C0);pop
2016-12-01;254,0;10201;Valdemorales;Pol:All (C0);pop
2017-01-01;254,0;10201;Valdemorales;Pol:All (C0);pop
2017-02-01;255,0;10201;Valdemorales;Pol:All (C0);pop
2017-03-01;257,0;10201;Valdemorales;Pol:All (C0);pop
2017-04-01;257,0;10201;Valdemorales;Pol:All (C0);pop
2017-05-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2017-06-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2017-07-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2017-08-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2017-09-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2017-10-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2017-11-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2017-12-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-01-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-02-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-03-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-04-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-05-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-06-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-07-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-08-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-09-01;258,0;10201;Valdemorales;Pol:All (C0);pop
2018-10-01;259,0;10201;Valdemorales;Pol:All (C0);pop
2018-11-01;259,0;10201;Valdemorales;Pol:All (C0);pop
2018-12-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-01-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-02-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-03-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-04-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-05-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-06-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-07-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-08-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-09-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-10-01;260,0;10201;Valdemorales;Pol:All (C0);pop
2019-11-01;261,0;10201;Valdemorales;Pol:All (C0);pop
2019-12-01;261,0;10201;Valdemorales;Pol:All (C0);pop
2020-01-01;263,0;10201;Valdemorales;Pol:All (C0);pop
2020-02-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-03-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-04-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-05-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-06-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-07-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-08-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-09-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-10-01;264,0;10201;Valdemorales;Pol:All (C0);pop
2020-11-01;265,0;10201;Valdemorales;Pol:All (C0);pop
2014-01-01;129,0;12002;Aín;Pol:All (C0);pop
2014-02-01;129,0;12002;Aín;Pol:All (C0);pop
2014-03-01;129,0;12002;Aín;Pol:All (C0);pop
2014-04-01;130,0;12002;Aín;Pol:All (C0);pop
2014-05-01;130,0;12002;Aín;Pol:All (C0);pop
2014-06-01;130,0;12002;Aín;Pol:All (C0);pop
2014-07-01;130,0;12002;Aín;Pol:All (C0);pop
2014-08-01;130,0;12002;Aín;Pol:All (C0);pop
2014-09-01;130,0;12002;Aín;Pol:All (C0);pop
2014-10-01;131,0;12002;Aín;Pol:All (C0);pop
2014-11-01;131,0;12002;Aín;Pol:All (C0);pop
2014-12-01;131,0;12002;Aín;Pol:All (C0);pop
2015-01-01;131,0;12002;Aín;Pol:All (C0);pop
2015-02-01;131,0;12002;Aín;Pol:All (C0);pop
2015-03-01;131,0;12002;Aín;Pol:All (C0);pop
2015-04-01;132,0;12002;Aín;Pol:All (C0);pop
2015-05-01;132,0;12002;Aín;Pol:All (C0);pop
2015-06-01;132,0;12002;Aín;Pol:All (C0);pop
2015-07-01;132,0;12002;Aín;Pol:All (C0);pop
2015-08-01;132,0;12002;Aín;Pol:All (C0);pop
2015-09-01;132,0;12002;Aín;Pol:All (C0);pop
2015-10-01;132,0;12002;Aín;Pol:All (C0);pop
2015-11-01;132,0;12002;Aín;Pol:All (C0);pop
2015-12-01;132,0;12002;Aín;Pol:All (C0);pop
2016-01-01;132,0;12002;Aín;Pol:All (C0);pop
2016-02-01;132,0;12002;Aín;Pol:All (C0);pop
2016-03-01;132,0;12002;Aín;Pol:All (C0);pop
2016-04-01;132,0;12002;Aín;Pol:All (C0);pop
2016-05-01;132,0;12002;Aín;Pol:All (C0);pop
2016-06-01;132,0;12002;Aín;Pol:All (C0);pop
2016-07-01;132,0;12002;Aín;Pol:All (C0);pop
2016-08-01;132,0;12002;Aín;Pol:All (C0);pop
2016-09-01;132,0;12002;Aín;Pol:All (C0);pop
2016-10-01;132,0;12002;Aín;Pol:All (C0);pop
2016-11-01;132,0;12002;Aín;Pol:All (C0);pop
2016-12-01;132,0;12002;Aín;Pol:All (C0);pop
2017-01-01;132,0;12002;Aín;Pol:All (C0);pop
2017-02-01;132,0;12002;Aín;Pol:All (C0);pop
2017-03-01;132,0;12002;Aín;Pol:All (C0);pop
2017-04-01;132,0;12002;Aín;Pol:All (C0);pop
2017-05-01;132,0;12002;Aín;Pol:All (C0);pop
2017-06-01;132,0;12002;Aín;Pol:All (C0);pop
2017-07-01;132,0;12002;Aín;Pol:All (C0);pop
2017-08-01;132,0;12002;Aín;Pol:All (C0);pop
2017-09-01;132,0;12002;Aín;Pol:All (C0);pop
2017-10-01;132,0;12002;Aín;Pol:All (C0);pop
2017-11-01;132,0;12002;Aín;Pol:All (C0);pop
2017-12-01;132,0;12002;Aín;Pol:All (C0);pop
2018-01-01;132,0;12002;Aín;Pol:All (C0);pop
2018-02-01;133,0;12002;Aín;Pol:All (C0);pop
2018-03-01;133,0;12002;Aín;Pol:All (C0);pop
2018-04-01;133,0;12002;Aín;Pol:All (C0);pop
2018-05-01;134,0;12002;Aín;Pol:All (C0);pop
2018-06-01;134,0;12002;Aín;Pol:All (C0);pop
2018-07-01;138,0;12002;Aín;Pol:All (C0);pop
2018-08-01;138,0;12002;Aín;Pol:All (C0);pop
2018-09-01;138,0;12002;Aín;Pol:All (C0);pop
2018-10-01;138,0;12002;Aín;Pol:All (C0);pop
2018-11-01;138,0;12002;Aín;Pol:All (C0);pop
2018-12-01;138,0;12002;Aín;Pol:All (C0);pop
2019-01-01;139,0;12002;Aín;Pol:All (C0);pop
2019-02-01;139,0;12002;Aín;Pol:All (C0);pop
2019-03-01;139,0;12002;Aín;Pol:All (C0);pop
2019-04-01;139,0;12002;Aín;Pol:All (C0);pop
2019-05-01;139,0;12002;Aín;Pol:All (C0);pop
2019-06-01;139,0;12002;Aín;Pol:All (C0);pop
2019-07-01;139,0;12002;Aín;Pol:All (C0);pop
2019-08-01;139,0;12002;Aín;Pol:All (C0);pop
2019-09-01;139,0;12002;Aín;Pol:All (C0);pop
2019-10-01;139,0;12002;Aín;Pol:All (C0);pop
2019-11-01;139,0;12002;Aín;Pol:All (C0);pop
2019-12-01;141,0;12002;Aín;Pol:All (C0);pop
2020-01-01;141,0;12002;Aín;Pol:All (C0);pop
2020-02-01;141,0;12002;Aín;Pol:All (C0);pop
2020-03-01;141,0;12002;Aín;Pol:All (C0);pop
2020-04-01;141,0;12002;Aín;Pol:All (C0);pop
2020-05-01;141,0;12002;Aín;Pol:All (C0);pop
2020-06-01;142,0;12002;Aín;Pol:All (C0);pop
2020-07-01;142,0;12002;Aín;Pol:All (C0);pop
2020-08-01;142,0;12002;Aín;Pol:All (C0);pop
2020-09-01;142,0;12002;Aín;Pol:All (C0);pop
2020-10-01;142,0;12002;Aín;Pol:All (C0);pop
2020-11-01;142,0;12002;Aín;Pol:All (C0);pop
2014-01-01;1379,0;39057;Ramales de la Victoria;Pol:All (C0);pop
2014-02-01;1381,0;39057;Ramales de la Victoria;Pol:All (C0);pop
2014-03-01;1385,0;39057;Ramales de la Victoria;Pol:All (C0);pop
