month;metric_value;municipality_id;municipality_name;policy_scenario;metric_name
2014-01-01;1,46535;10201;Valdemorales;Pol:All (C0);qli_index
2014-02-01;1,92938;10201;Valdemorales;Pol:All (C0);qli_index
2014-03-01;2,39303;10201;Valdemorales;Pol:All (C0);qli_index
2014-04-01;2,85794;10201;Valdemorales;Pol:All (C0);qli_index
2014-05-01;3,32393;10201;Valdemorales;Pol:All (C0);qli_index
2014-06-01;3,79374;10201;Valdemorales;Pol:All (C0);qli_index
2014-07-01;4,25639;10201;Valdemorales;Pol:All (C0);qli_index
2014-08-01;4,71829;10201;Valdemorales;Pol:All (C0);qli_index
2014-09-01;5,18556;10201;Valdemorales;Pol:All (C0);qli_index
2014-10-01;5,60716;10201;Valdemorales;Pol:All (C0);qli_index
2014-11-01;6,04976;10201;Valdemorales;Pol:All (C0);qli_index
2014-12-01;6,51328;10201;Valdemorales;Pol:All (C0);qli_index
2015-01-01;6,97477;10201;Valdemorales;Pol:All (C0);qli_index
2015-02-01;7,43312;10201;Valdemorales;Pol:All (C0);qli_index
2015-03-01;7,89186;10201;Valdemorales;Pol:All (C0);qli_index
2015-04-01;8,35254;10201;Valdemorales;Pol:All (C0);qli_index
2015-05-01;8,81268;10201;Valdemorales;Pol:All (C0);qli_index
2015-06-01;9,27179;10201;Valdemorales;Pol:All (C0);qli_index
2015-07-01;9,69638;10201;Valdemorales;Pol:All (C0);qli_index
2015-08-01;10,15475;10201;Valdemorales;Pol:All (C0);qli_index
2015-09-01;10,61479;10201;Valdemorales;Pol:All (C0);qli_index
2015-10-01;11,0722;10201;Valdemorales;Pol:All (C0);qli_index
2015-11-01;11,5304;10201;Valdemorales;Pol:All (C0);qli_index
2015-12-01;11,98797;10201;Valdemorales;Pol:All (C0);qli_index
2016-01-01;12,4479;10201;Valdemorales;Pol:All (C0);qli_index
2016-02-01;12,85679;10201;Valdemorales;Pol:All (C0);qli_index
2016-03-01;13,26371;10201;Valdemorales;Pol:All (C0);qli_index
2016-04-01;13,72094;10201;Valdemorales;Pol:All (C0);qli_index
2016-05-01;14,17986;10201;Valdemorales;Pol:All (C0);qli_index
2016-06-01;14,63793;10201;Valdemorales;Pol:All (C0);qli_index
2016-07-01;15,03949;10201;Valdemorales;Pol:All (C0);qli_index
2016-08-01;15,50048;10201;Valdemorales;Pol:All (C0);qli_index
2016-09-01;15,95855;10201;Valdemorales;Pol:All (C0);qli_index
2016-10-01;16,41686;10201;Valdemorales;Pol:All (C0);qli_index
2016-11-01;16,8755;10201;Valdemorales;Pol:All (C0);qli_index
2016-12-01;17,33297;10201;Valdemorales;Pol:All (C0);qli_index
2017-01-01;17,78942;10201;Valdemorales;Pol:All (C0);qli_index
2017-02-01;18,18065;10201;Valdemorales;Pol:All (C0);qli_index
2017-03-01;18,50103;10201;Valdemorales;Pol:All (C0);qli_index
2017-04-01;18,95915;10201;Valdemorales;Pol:All (C0);qli_index
2017-05-01;19,34817;10201;Valdemorales;Pol:All (C0);qli_index
2017-06-01;19,80977;10201;Valdemorales;Pol:All (C0);qli_index
2017-07-01;20,27448;10201;Valdemorales;Pol:All (C0);qli_index
2017-08-01;20,73396;10201;Valdemorales;Pol:All (C0);qli_index
2017-09-01;21,19624;10201;Valdemorales;Pol:All (C0);qli_index
2017-10-01;21,65709;10201;Valdemorales;Pol:All (C0);qli_index
2017-11-01;22,1177;10201;Valdemorales;Pol:All (C0);qli_index
2017-12-01;22,57728;10201;Valdemorales;Pol:All (C0);qli_index
2018-01-01;23,03801;10201;Valdemorales;Pol:All (C0);qli_index
2018-02-01;23,49498;10201;Valdemorales;Pol:All (C0);qli_index
2018-03-01;23,95261;10201;Valdemorales;Pol:All (C0);qli_index
2018-04-01;24,41252;10201;Valdemorales;Pol:All (C0);qli_index
2018-05-01;24,8702;10201;Valdemorales;Pol:All (C0);qli_index
2018-06-01;25,33853;10201;Valdemorales;Pol:All (C0);qli_index
2018-07-01;25,8053;10201;Valdemorales;Pol:All (C0);qli_index
2018-08-01;26,26874;10201;Valdemorales;Pol:All (C0);qli_index
2018-09-01;26,73227;10201;Valdemorales;Pol:All (C0);qli_index
2018-10-01;27,09627;10201;Valdemorales;Pol:All (C0);qli_index
2018-11-01;27,56446;10201;Valdemorales;Pol:All (C0);qli_index
2018-12-01;27,92229;10201;Valdemorales;Pol:All (C0);qli_index
2019-01-01;28,38727;10201;Valdemorales;Pol:All (C0);qli_index
2019-02-01;28,85141;10201;Valdemorales;Pol:All (C0);qli_index
2019-03-01;29,31131;10201;Valdemorales;Pol:All (C0);qli_index
2019-04-01;29,77557;10201;Valdemorales;Pol:All (C0);qli_index
2019-05-01;30,25121;10201;Valdemorales;Pol:All (C0);qli_index
2019-06-01;30,71879;10201;Valdemorales;Pol:All (C0);qli_index
2019-07-01;31,19241;10201;Valdemorales;Pol:All (C0);qli_index
2019-08-01;31,65582;10201;Valdemorales;Pol:All (C0);qli_index
2019-09-01;32,11516;10201;Valdemorales;Pol:All (C0);qli_index
2019-10-01;32,57907;10201;Valdemorales;Pol:All (C0);qli_index
2019-11-01;32,92119;10201;Valdemorales;Pol:All (C0);qli_index
2019-12-01;33,38129;10201;Valdemorales;Pol:All (C0);qli_index
2020-01-01;33,63523;10201;Valdemorales;Pol:All (C0);qli_index
2020-02-01;33,96936;10201;Valdemorales;Pol:All (C0);qli_index
2020-03-01;34,44224;10201;Valdemorales;Pol:All (C0);qli_index
2020-04-01;34,90071;10201;Valdemorales;Pol:All (C0);qli_index
2020-05-01;35,35799;10201;Valdemorales;Pol:All (C0);qli_index
2020-06-01;35,8205;10201;Valdemorales;Pol:All (C0);qli_index
2020-07-01;36,31282;10201;Valdemorales;Pol:All (C0);qli_index
2020-08-01;36,78866;10201;Valdemorales;Pol:All (C0);qli_index
2020-09-01;37,2491;10201;Valdemorales;Pol:All (C0);qli_index
2020-10-01;37,7081;10201;Valdemorales;Pol:All (C0);qli_index
2020-11-01;38,02882;10201;Valdemorales;Pol:All (C0);qli_index
2014-01-01;1,24792;12002;Aín;Pol:All (C0);qli_index
2014-02-01;1,49576;12002;Aín;Pol:All (C0);qli_index
2014-03-01;1,74311;12002;Aín;Pol:All (C0);qli_index
2014-04-01;1,98601;12002;Aín;Pol:All (C0);qli_index
2014-05-01;2,23751;12002;Aín;Pol:All (C0);qli_index
2014-06-01;2,48629;12002;Aín;Pol:All (C0);qli_index
2014-07-01;2,73601;12002;Aín;Pol:All (C0);qli_index
2014-08-01;2,98433;12002;Aín;Pol:All (C0);qli_index
2014-09-01;3,23778;12002;Aín;Pol:All (C0);qli_index
2014-10-01;3,46254;12002;Aín;Pol:All (C0);qli_index
2014-11-01;3,71173;12002;Aín;Pol:All (C0);qli_index
2014-12-01;3,96156;12002;Aín;Pol:All (C0);qli_index
2015-01-01;4,21172;12002;Aín;Pol:All (C0);qli_index
2015-02-01;4,46014;12002;Aín;Pol:All (C0);qli_index
2015-03-01;4,70867;12002;Aín;Pol:All (C0);qli_index
2015-04-01;4,92328;12002;Aín;Pol:All (C0);qli_index
2015-05-01;5,17682;12002;Aín;Pol:All (C0);qli_index
2015-06-01;5,42838;12002;Aín;Pol:All (C0);qli_index
2015-07-01;5,67847;12002;Aín;Pol:All (C0);qli_index
2015-08-01;5,92827;12002;Aín;Pol:All (C0);qli_index
2015-09-01;6,17854;12002;Aín;Pol:All (C0);qli_index
2015-10-01;6,42788;12002;Aín;Pol:All (C0);qli_index
2015-11-01;6,67673;12002;Aín;Pol:All (C0);qli_index
2015-12-01;6,92689;12002;Aín;Pol:All (C0);qli_index
2016-01-01;7,17423;12002;Aín;Pol:All (C0);qli_index
2016-02-01;7,42185;12002;Aín;Pol:All (C0);qli_index
2016-03-01;7,66804;12002;Aín;Pol:All (C0);qli_index
2016-04-01;7,91368;12002;Aín;Pol:All (C0);qli_index
2016-05-01;8,16239;12002;Aín;Pol:All (C0);qli_index
2016-06-01;8,40912;12002;Aín;Pol:All (C0);qli_index
2016-07-01;8,65541;12002;Aín;Pol:All (C0);qli_index
2016-08-01;8,90194;12002;Aín;Pol:All (C0);qli_index
2016-09-01;9,14821;12002;Aín;Pol:All (C0);qli_index
2016-10-01;9,39468;12002;Aín;Pol:All (C0);qli_index
2016-11-01;9,64266;12002;Aín;Pol:All (C0);qli_index
2016-12-01;9,88758;12002;Aín;Pol:All (C0);qli_index
2017-01-01;10,135;12002;Aín;Pol:All (C0);qli_index
2017-02-01;10,38128;12002;Aín;Pol:All (C0);qli_index
2017-03-01;10,63203;12002;Aín;Pol:All (C0);qli_index
2017-04-01;10,87777;12002;Aín;Pol:All (C0);qli_index
2017-05-01;11,12592;12002;Aín;Pol:All (C0);qli_index
2017-06-01;11,37289;12002;Aín;Pol:All (C0);qli_index
2017-07-01;11,61974;12002;Aín;Pol:All (C0);qli_index
2017-08-01;11,8646;12002;Aín;Pol:All (C0);qli_index
2017-09-01;12,10991;12002;Aín;Pol:All (C0);qli_index
2017-10-01;12,35524;12002;Aín;Pol:All (C0);qli_index
2017-11-01;12,60377;12002;Aín;Pol:All (C0);qli_index
2017-12-01;12,84868;12002;Aín;Pol:All (C0);qli_index
2018-01-01;13,09782;12002;Aín;Pol:All (C0);qli_index
2018-02-01;13,24837;12002;Aín;Pol:All (C0);qli_index
2018-03-01;13,49901;12002;Aín;Pol:All (C0);qli_index
2018-04-01;13,74786;12002;Aín;Pol:All (C0);qli_index
2018-05-01;13,8894;12002;Aín;Pol:All (C0);qli_index
2018-06-01;14,14015;12002;Aín;Pol:All (C0);qli_index
2018-07-01;13,98439;12002;Aín;Pol:All (C0);qli_index
2018-08-01;14,23619;12002;Aín;Pol:All (C0);qli_index
2018-09-01;14,4877;12002;Aín;Pol:All (C0);qli_index
2018-10-01;14,74913;12002;Aín;Pol:All (C0);qli_index
2018-11-01;15,00121;12002;Aín;Pol:All (C0);qli_index
2018-12-01;15,25574;12002;Aín;Pol:All (C0);qli_index
2019-01-01;15,39739;12002;Aín;Pol:All (C0);qli_index
2019-02-01;15,64557;12002;Aín;Pol:All (C0);qli_index
2019-03-01;15,89135;12002;Aín;Pol:All (C0);qli_index
2019-04-01;16,13446;12002;Aín;Pol:All (C0);qli_index
2019-05-01;16,37737;12002;Aín;Pol:All (C0);qli_index
2019-06-01;16,62502;12002;Aín;Pol:All (C0);qli_index
2019-07-01;16,87231;12002;Aín;Pol:All (C0);qli_index
2019-08-01;17,11812;12002;Aín;Pol:All (C0);qli_index
2019-09-01;17,3625;12002;Aín;Pol:All (C0);qli_index
2019-10-01;17,63125;12002;Aín;Pol:All (C0);qli_index
2019-11-01;17,87307;12002;Aín;Pol:All (C0);qli_index
2019-12-01;17,8659;12002;Aín;Pol:All (C0);qli_index
2020-01-01;18,1247;12002;Aín;Pol:All (C0);qli_index
2020-02-01;18,37389;12002;Aín;Pol:All (C0);qli_index
2020-03-01;18,62414;12002;Aín;Pol:All (C0);qli_index
2020-04-01;18,8748;12002;Aín;Pol:All (C0);qli_index
2020-05-01;19,12503;12002;Aín;Pol:All (C0);qli_index
