month;metric_value;municipality_id;municipality_name;policy_scenario;metric_name
2014-01-01;0,9443;10201;Valdemorales;Pol:All (C0);regional_gini
2014-02-01;0,9443;10201;Valdemorales;Pol:All (C0);regional_gini
2014-03-01;0,9442;10201;Valdemorales;Pol:All (C0);regional_gini
2014-04-01;0,9442;10201;Valdemorales;Pol:All (C0);regional_gini
2014-05-01;0,9441;10201;Valdemorales;Pol:All (C0);regional_gini
2014-06-01;0,944;10201;Valdemorales;Pol:All (C0);regional_gini
2014-07-01;0,9438;10201;Valdemorales;Pol:All (C0);regional_gini
2014-08-01;0,9437;10201;Valdemorales;Pol:All (C0);regional_gini
2014-09-01;0,9438;10201;Valdemorales;Pol:All (C0);regional_gini
2014-10-01;0,9436;10201;Valdemorales;Pol:All (C0);regional_gini
2014-11-01;0,9435;10201;Valdemorales;Pol:All (C0);regional_gini
2014-12-01;0,9433;10201;Valdemorales;Pol:All (C0);regional_gini
2015-01-01;0,9424;10201;Valdemorales;Pol:All (C0);regional_gini
2015-02-01;0,9427;10201;Valdemorales;Pol:All (C0);regional_gini
2015-03-01;0,9435;10201;Valdemorales;Pol:All (C0);regional_gini
2015-04-01;0,9438;10201;Valdemorales;Pol:All (C0);regional_gini
2015-05-01;0,9439;10201;Valdemorales;Pol:All (C0);regional_gini
2015-06-01;0,9438;10201;Valdemorales;Pol:All (C0);regional_gini
2015-07-01;0,9434;10201;Valdemorales;Pol:All (C0);regional_gini
2015-08-01;0,9432;10201;Valdemorales;Pol:All (C0);regional_gini
2015-09-01;0,9432;10201;Valdemorales;Pol:All (C0);regional_gini
2015-10-01;0,9431;10201;Valdemorales;Pol:All (C0);regional_gini
2015-11-01;0,9426;10201;Valdemorales;Pol:All (C0);regional_gini
2015-12-01;0,9425;10201;Valdemorales;Pol:All (C0);regional_gini
2016-01-01;0,9414;10201;Valdemorales;Pol:All (C0);regional_gini
2016-02-01;0,9413;10201;Valdemorales;Pol:All (C0);regional_gini
2016-03-01;0,9426;10201;Valdemorales;Pol:All (C0);regional_gini
2016-04-01;0,9427;10201;Valdemorales;Pol:All (C0);regional_gini
2016-05-01;0,9431;10201;Valdemorales;Pol:All (C0);regional_gini
2016-06-01;0,9432;10201;Valdemorales;Pol:All (C0);regional_gini
2016-07-01;0,9427;10201;Valdemorales;Pol:All (C0);regional_gini
2016-08-01;0,9426;10201;Valdemorales;Pol:All (C0);regional_gini
2016-09-01;0,9428;10201;Valdemorales;Pol:All (C0);regional_gini
