month;metric_value;municipality_id;municipality_name;policy_scenario;metric_name
2014-01-01;10830,232;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-02-01;15861,699;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-03-01;21103,234;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-04-01;26122,473;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-05-01;30066,837;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-06-01;34528,88;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-07-01;34721,428;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-08-01;38780,85;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-09-01;46207,643;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-10-01;49841,939;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-11-01;50842,474;10201;Valdemorales;Pol:All (C0);regional_house_values
2014-12-01;53635,971;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-01-01;46317,105;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-02-01;53846,095;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-03-01;73463,131;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-04-01;92937,61;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-05-01;118265,294;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-06-01;120303,174;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-07-01;85702,036;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-08-01;89108,858;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-09-01;99992,431;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-10-01;109073,798;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-11-01;92300,464;10201;Valdemorales;Pol:All (C0);regional_house_values
2015-12-01;95933,374;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-01-01;73461,955;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-02-01;77367,835;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-03-01;106461,324;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-04-01;119168,389;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-05-01;167930,563;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-06-01;185636,237;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-07-01;149712,789;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-08-01;160665,473;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-09-01;193358,041;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-10-01;198848,931;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-11-01;203373,921;10201;Valdemorales;Pol:All (C0);regional_house_values
2016-12-01;221732,537;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-01-01;215233,854;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-02-01;229813,209;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-03-01;235277,644;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-04-01;235544,532;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-05-01;239739,092;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-06-01;243223,896;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-07-01;247994,764;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-08-01;253812,7;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-09-01;263207,572;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-10-01;270626,346;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-11-01;274632,126;10201;Valdemorales;Pol:All (C0);regional_house_values
2017-12-01;284736,331;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-01-01;280844,453;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-02-01;287972,556;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-03-01;303188,392;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-04-01;309060,705;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-05-01;311769,482;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-06-01;308146,466;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-07-01;345519,233;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-08-01;335940,511;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-09-01;312731,46;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-10-01;294582,454;10201;Valdemorales;Pol:All (C0);regional_house_values
2018-11-01;339287,13;10201;Valdemorales;Pol:All (C0);regional_house_values
